FullDate,Season,PlayDay,DateKey
1977-11-19,1977,14,954
1977-11-20,1977,14,955
1977-11-26,1977,15,956
1977-11-27,1977,15,957
1977-12-03,1977,16,958
1977-12-04,1977,16,959
1977-12-10,1977,17,960
1977-12-11,1977,17,961
1977-12-17,1977,18,962
1977-12-18,1977,18,963
1978-01-07,1977,19,964
1978-01-08,1977,19,965
1978-01-14,1977,20,966
1978-01-15,1977,20,967
1978-01-21,1977,21,968
1978-01-22,1977,21,969
1978-01-28,1977,22,970
1978-01-29,1977,22,971
1978-02-04,1977,23,972
1978-02-05,1977,23,973
1978-02-11,1977,24,974
1978-02-12,1977,24,975
1978-02-18,1977,25,976
1978-02-19,1977,25,977
1978-02-26,1977,25,978
1978-03-04,1977,26,979
1978-03-05,1977,26,980
1978-03-11,1977,27,981
1978-03-12,1977,27,982
1978-03-18,1977,28,983
1978-03-19,1977,28,984
1978-03-24,1977,29,985
1978-03-25,1977,29,986
1978-03-26,1977,29,987
1978-04-01,1977,30,988
1978-04-02,1977,30,989
1978-04-08,1977,31,990
